"num_inputs","cycles","id"
0,3,"minmax_rust_size"
1,5,"minmax_rust_size"
2,7,"minmax_rust_size"
3,9,"minmax_rust_size"
4,11,"minmax_rust_size"
5,13,"minmax_rust_size"
6,15,"minmax_rust_size"
7,17,"minmax_rust_size"
8,19,"minmax_rust_size"
9,21,"minmax_rust_size"
10,23,"minmax_rust_size"
11,25,"minmax_rust_size"
12,27,"minmax_rust_size"
13,29,"minmax_rust_size"
14,31,"minmax_rust_size"
15,33,"minmax_rust_size"
16,35,"minmax_rust_size"
17,37,"minmax_rust_size"
18,39,"minmax_rust_size"
19,41,"minmax_rust_size"
20,43,"minmax_rust_size"
21,45,"minmax_rust_size"
22,47,"minmax_rust_size"
23,49,"minmax_rust_size"
24,51,"minmax_rust_size"
25,53,"minmax_rust_size"
26,55,"minmax_rust_size"
27,57,"minmax_rust_size"
28,59,"minmax_rust_size"
29,61,"minmax_rust_size"
30,63,"minmax_rust_size"
31,65,"minmax_rust_size"
32,67,"minmax_rust_size"
33,69,"minmax_rust_size"
34,71,"minmax_rust_size"
35,73,"minmax_rust_size"
36,75,"minmax_rust_size"
37,77,"minmax_rust_size"
38,79,"minmax_rust_size"
39,81,"minmax_rust_size"
40,83,"minmax_rust_size"
41,85,"minmax_rust_size"
42,87,"minmax_rust_size"
43,89,"minmax_rust_size"
44,91,"minmax_rust_size"
45,93,"minmax_rust_size"
46,95,"minmax_rust_size"
47,97,"minmax_rust_size"
48,99,"minmax_rust_size"
49,101,"minmax_rust_size"
50,103,"minmax_rust_size"
0,3,"minmax_rust_speed"
1,7,"minmax_rust_speed"
2,10,"minmax_rust_speed"
3,13,"minmax_rust_speed"
4,9,"minmax_rust_speed"
5,12,"minmax_rust_speed"
6,15,"minmax_rust_speed"
7,18,"minmax_rust_speed"
8,14,"minmax_rust_speed"
9,17,"minmax_rust_speed"
10,20,"minmax_rust_speed"
11,23,"minmax_rust_speed"
12,19,"minmax_rust_speed"
13,22,"minmax_rust_speed"
14,25,"minmax_rust_speed"
15,28,"minmax_rust_speed"
16,24,"minmax_rust_speed"
17,27,"minmax_rust_speed"
18,30,"minmax_rust_speed"
19,33,"minmax_rust_speed"
20,29,"minmax_rust_speed"
21,32,"minmax_rust_speed"
22,35,"minmax_rust_speed"
23,38,"minmax_rust_speed"
24,34,"minmax_rust_speed"
25,37,"minmax_rust_speed"
26,40,"minmax_rust_speed"
27,43,"minmax_rust_speed"
28,39,"minmax_rust_speed"
29,42,"minmax_rust_speed"
30,45,"minmax_rust_speed"
31,48,"minmax_rust_speed"
32,44,"minmax_rust_speed"
33,47,"minmax_rust_speed"
34,50,"minmax_rust_speed"
35,53,"minmax_rust_speed"
36,49,"minmax_rust_speed"
37,52,"minmax_rust_speed"
38,55,"minmax_rust_speed"
39,58,"minmax_rust_speed"
40,54,"minmax_rust_speed"
41,57,"minmax_rust_speed"
42,60,"minmax_rust_speed"
43,63,"minmax_rust_speed"
44,59,"minmax_rust_speed"
45,62,"minmax_rust_speed"
46,65,"minmax_rust_speed"
47,68,"minmax_rust_speed"
48,64,"minmax_rust_speed"
49,67,"minmax_rust_speed"
50,70,"minmax_rust_speed"
0,1,"minmax_idiom_size"
1,3,"minmax_idiom_size"
2,5,"minmax_idiom_size"
3,7,"minmax_idiom_size"
4,9,"minmax_idiom_size"
5,11,"minmax_idiom_size"
6,13,"minmax_idiom_size"
7,15,"minmax_idiom_size"
8,17,"minmax_idiom_size"
9,19,"minmax_idiom_size"
10,21,"minmax_idiom_size"
11,23,"minmax_idiom_size"
12,25,"minmax_idiom_size"
13,27,"minmax_idiom_size"
14,29,"minmax_idiom_size"
15,31,"minmax_idiom_size"
16,33,"minmax_idiom_size"
17,35,"minmax_idiom_size"
18,37,"minmax_idiom_size"
19,39,"minmax_idiom_size"
20,41,"minmax_idiom_size"
21,43,"minmax_idiom_size"
22,45,"minmax_idiom_size"
23,47,"minmax_idiom_size"
24,49,"minmax_idiom_size"
25,51,"minmax_idiom_size"
26,53,"minmax_idiom_size"
27,55,"minmax_idiom_size"
28,57,"minmax_idiom_size"
29,59,"minmax_idiom_size"
30,61,"minmax_idiom_size"
31,63,"minmax_idiom_size"
32,65,"minmax_idiom_size"
33,67,"minmax_idiom_size"
34,69,"minmax_idiom_size"
35,71,"minmax_idiom_size"
36,73,"minmax_idiom_size"
37,75,"minmax_idiom_size"
38,77,"minmax_idiom_size"
39,79,"minmax_idiom_size"
40,81,"minmax_idiom_size"
41,83,"minmax_idiom_size"
42,85,"minmax_idiom_size"
43,87,"minmax_idiom_size"
44,89,"minmax_idiom_size"
45,91,"minmax_idiom_size"
46,93,"minmax_idiom_size"
47,95,"minmax_idiom_size"
48,97,"minmax_idiom_size"
49,99,"minmax_idiom_size"
50,101,"minmax_idiom_size"
0,1,"minmax_idiom_speed"
1,6,"minmax_idiom_speed"
2,9,"minmax_idiom_speed"
3,12,"minmax_idiom_speed"
4,8,"minmax_idiom_speed"
5,11,"minmax_idiom_speed"
6,14,"minmax_idiom_speed"
7,17,"minmax_idiom_speed"
8,13,"minmax_idiom_speed"
9,16,"minmax_idiom_speed"
10,19,"minmax_idiom_speed"
11,22,"minmax_idiom_speed"
12,18,"minmax_idiom_speed"
13,21,"minmax_idiom_speed"
14,24,"minmax_idiom_speed"
15,27,"minmax_idiom_speed"
16,23,"minmax_idiom_speed"
17,26,"minmax_idiom_speed"
18,29,"minmax_idiom_speed"
19,32,"minmax_idiom_speed"
20,28,"minmax_idiom_speed"
21,31,"minmax_idiom_speed"
22,34,"minmax_idiom_speed"
23,37,"minmax_idiom_speed"
24,33,"minmax_idiom_speed"
25,36,"minmax_idiom_speed"
26,39,"minmax_idiom_speed"
27,42,"minmax_idiom_speed"
28,38,"minmax_idiom_speed"
29,41,"minmax_idiom_speed"
30,44,"minmax_idiom_speed"
31,47,"minmax_idiom_speed"
32,43,"minmax_idiom_speed"
33,46,"minmax_idiom_speed"
34,49,"minmax_idiom_speed"
35,52,"minmax_idiom_speed"
36,48,"minmax_idiom_speed"
37,51,"minmax_idiom_speed"
38,54,"minmax_idiom_speed"
39,57,"minmax_idiom_speed"
40,53,"minmax_idiom_speed"
41,56,"minmax_idiom_speed"
42,59,"minmax_idiom_speed"
43,62,"minmax_idiom_speed"
44,58,"minmax_idiom_speed"
45,61,"minmax_idiom_speed"
46,64,"minmax_idiom_speed"
47,67,"minmax_idiom_speed"
48,63,"minmax_idiom_speed"
49,66,"minmax_idiom_speed"
50,69,"minmax_idiom_speed"
0,4,"minmax_clang_speed"
1,9,"minmax_clang_speed"
2,12,"minmax_clang_speed"
3,15,"minmax_clang_speed"
4,11,"minmax_clang_speed"
5,14,"minmax_clang_speed"
6,17,"minmax_clang_speed"
7,20,"minmax_clang_speed"
8,16,"minmax_clang_speed"
9,19,"minmax_clang_speed"
10,22,"minmax_clang_speed"
11,25,"minmax_clang_speed"
12,21,"minmax_clang_speed"
13,24,"minmax_clang_speed"
14,27,"minmax_clang_speed"
15,30,"minmax_clang_speed"
16,26,"minmax_clang_speed"
17,29,"minmax_clang_speed"
18,32,"minmax_clang_speed"
19,35,"minmax_clang_speed"
20,31,"minmax_clang_speed"
21,34,"minmax_clang_speed"
22,37,"minmax_clang_speed"
23,40,"minmax_clang_speed"
24,36,"minmax_clang_speed"
25,39,"minmax_clang_speed"
26,42,"minmax_clang_speed"
27,45,"minmax_clang_speed"
28,41,"minmax_clang_speed"
29,44,"minmax_clang_speed"
30,47,"minmax_clang_speed"
31,50,"minmax_clang_speed"
32,46,"minmax_clang_speed"
33,49,"minmax_clang_speed"
34,52,"minmax_clang_speed"
35,55,"minmax_clang_speed"
